,L,L_str,R,R_str,V(out),W
158,0.13664483492953255,0.13664483492953255u,85.54672535565685,85.54672535565685,0.0021234548,0.0007407408
159,0.13664483492953255,0.13664483492953255u,96.17248711152965,96.17248711152965,0.0018104122,0.00061333727
160,0.13664483492953255,0.13664483492953255u,108.11807510766077,108.11807510766077,0.0016074382,0.00063838053
161,0.13664483492953255,0.13664483492953255u,121.54742500762872,121.54742500762872,0.0015105908,0.0006130852
162,0.13664483492953255,0.13664483492953255u,136.64483492953258,136.64483492953258,0.0014312187,0.00062060513
163,0.13664483492953255,0.13664483492953255u,153.6174946671828,153.6174946671828,0.0012977215,0.000606331
164,0.13664483492953255,0.13664483492953255u,172.6983290659436,172.6983290659436,0.00146749,0.0005525556
165,0.13664483492953255,0.13664483492953255u,194.14919457438816,194.14919457438816,0.0014394679,0.00053574843
166,0.13664483492953255,0.13664483492953255u,218.26447283974872,218.26447283974872,0.0011483856,0.0005272352
167,0.13664483492953255,0.13664483492953255u,245.37511066398193,245.37511066398193,0.0010044842,0.0004903496
168,0.13664483492953255,0.13664483492953255u,275.85316176291843,275.85316176291843,0.0010286141,0.0004997884
169,0.13664483492953255,0.13664483492953255u,310.1168926574779,310.1168926574779,0.0009412798,0.00045040948
170,0.13664483492953255,0.13664483492953255u,348.63652276780874,348.63652276780874,0.0008181275,0.0004431189
171,0.13664483492953255,0.13664483492953255u,391.94067748472213,391.94067748472213,0.0006664481,0.00039607554
172,0.13664483492953255,0.13664483492953255u,440.6236427773573,440.6236427773573,0.0005456698,0.0003668847
173,0.13664483492953255,0.13664483492953255u,495.3535208959175,495.3535208959175,0.0004821967,0.00031474032
174,0.13664483492953255,0.13664483492953255u,556.8813990945273,556.8813990945273,0.00031151721,0.0003022941
175,0.13664483492953255,0.13664483492953255u,626.0516572014822,626.0516572014822,0.0004527153,0.00027354897
176,0.13664483492953255,0.13664483492953255u,703.8135554931562,703.8135554931562,0.0005151644,0.00026304534
177,0.13664483492953255,0.13664483492953255u,791.2342618981327,791.2342618981327,0.00048163222,0.00024338365
178,0.13664483492953255,0.13664483492953255u,889.5134973108236,889.5134973108236,0.0003353922,0.00021983264
179,0.13664483492953255,0.13664483492953255u,1000.0,1000.0,0.00010602738,0.00019264943
180,0.15973122800602543,0.15973122800602543u,1.0,1.0,0.019820897,-0.00010301065
181,0.15973122800602543,0.15973122800602543u,1.1242100350620865,1.1242100350620865,0.02187099,-0.00012227662
182,0.15973122800602543,0.15973122800602543u,1.263848202934298,1.263848202934298,0.021593574,-0.00013924515
183,0.15973122800602543,0.15973122800602543u,1.4208308325339223,1.4208308325339223,0.022880135,-9.5226605e-05
184,0.15973122800602543,0.15973122800602543u,1.5973122800602544,1.5973122800602544,0.022881536,-0.00011591281
185,0.15973122800602543,0.15973122800602543u,1.7957144943716399,1.7957144943716399,0.022803543,-5.243986e-05
186,0.15973122800602543,0.15973122800602543u,2.0187602546790386,2.0187602546790386,0.022515263,-7.967664e-05
187,0.15973122800602543,0.15973122800602543u,2.269510536694669,2.269510536694669,0.022151314,-6.38713e-05
188,0.15973122800602543,0.15973122800602543u,2.5514065200312888,2.5514065200312888,0.021650286,-0.00010768872
189,0.15973122800602543,0.15973122800602543u,2.868316813342011,2.868316813342011,0.021304712,-8.896917e-05
190,0.15973122800602543,0.15973122800602543u,3.2245905452963948,3.2245905452963948,0.020670388,-0.00017794286
191,0.15973122800602543,0.15973122800602543u,3.6251170499885332,3.6251170499885332,0.020586694,-6.551505e-05
192,0.15973122800602543,0.15973122800602543u,4.075392965871777,4.075392965871777,0.020766411,2.3968581e-05
193,0.15973122800602543,0.15973122800602543u,4.581597669054491,4.581597669054491,0.019568764,2.4555957e-05
194,0.15973122800602543,0.15973122800602543u,5.150678076168124,5.150678076168124,0.019716367,-2.9791703e-05
195,0.15973122800602543,0.15973122800602543u,5.790443980602488,5.790443980602488,0.018127095,-8.515056e-05
196,0.15973122800602543,0.15973122800602543u,6.50967523045817,6.50967523045817,0.018881688,2.975868e-05
197,0.15973122800602543,0.15973122800602543u,7.318242219076176,7.318242219076176,0.018237075,-2.0756865e-05
198,0.15973122800602543,0.15973122800602543u,8.22724134170047,8.22724134170047,0.017506707,-4.8823378e-05
199,0.15973122800602543,0.15973122800602543u,9.249147277217336,9.249147277217336,0.01551958,-3.9311053e-05
200,0.15973122800602543,0.15973122800602543u,10.3979841848149,10.3979841848149,0.015049266,9.388117e-05
201,0.15973122800602543,0.15973122800602543u,11.689518164985783,11.689518164985783,0.01472069,0.0001468788
202,0.15973122800602543,0.15973122800602543u,13.141473626117568,13.141473626117568,0.01271673,5.3669843e-05
203,0.15973122800602543,0.15973122800602543u,14.773776525985111,14.773776525985111,0.01214026,0.00023016
204,0.15973122800602543,0.15973122800602543u,16.608827826277157,16.608827826277157,0.0112116365,0.00031803388
205,0.15973122800602543,0.15973122800602543u,18.671810912919206,18.671810912919206,0.009393365,0.0003863363
206,0.15973122800602543,0.15973122800602543u,20.991037201085547,20.991037201085547,0.008522375,0.00031355117
207,0.15973122800602543,0.15973122800602543u,23.59833466782195,23.59833466782195,0.00648878,0.00043026995
208,0.15973122800602543,0.15973122800602543u,26.529484644318973,26.529484644318973,0.006651861,0.0005966157
209,0.15973122800602543,0.15973122800602543u,29.824712862168912,29.824712862168912,0.0052027525,0.0005246544
210,0.15973122800602543,0.15973122800602543u,33.52924149249558,33.52924149249558,0.0052715326,0.000549173
211,0.15973122800602543,0.15973122800602543u,37.69390975388362,37.69390975388362,0.0038594743,0.0006384354
212,0.15973122800602543,0.15973122800602543u,42.37587160604063,42.37587160604063,0.0040311003,0.00064297376
213,0.15973122800602543,0.15973122800602543u,47.63938010401343,47.63938010401343,0.003694633,0.00059048575
214,0.15973122800602543,0.15973122800602543u,53.55666917706899,53.55666917706899,0.0032544737,0.00064863754
215,0.15973122800602543,0.15973122800602543u,60.208944933361316,60.208944933361316,0.0033751123,0.00067238195
216,0.15973122800602543,0.15973122800602543u,67.68750009458535,67.68750009458535,0.0027499537,0.00069131074
217,0.15973122800602543,0.15973122800602543u,76.0949668545988,76.0949668545988,0.00253995,0.00066821603
218,0.15973122800602543,0.15973122800602543u,85.54672535565685,85.54672535565685,0.0022243643,0.0006695675
219,0.15973122800602543,0.15973122800602543u,96.17248711152965,96.17248711152965,0.0021412764,0.00066501374
220,0.15973122800602543,0.15973122800602543u,108.11807510766077,108.11807510766077,0.001839196,0.00061879726
221,0.15973122800602543,0.15973122800602543u,121.54742500762872,121.54742500762872,0.0016360527,0.0006205541
